Title,fantasy,science,horror,thriller,mystery,detective,history,young,children
Streams of Silver,1,0,0,0,0,0,0,0,0
Merlin Book 11: The Eternal Flame,1,0,0,0,0,0,0,0,0
The Runes of the Earth,1,0,0,0,0,0,0,0,0
Magicats II,1,0,0,0,0,0,0,0,0
King Javan's Year,1,0,0,0,0,0,0,0,0
When True Night Falls,1,0,0,0,0,0,0,0,0
Shadow of a Dark Queen,1,0,0,0,0,0,0,0,0
The Mighty Warriors,1,0,0,0,0,0,0,0,0
Jarka Ruus,1,0,0,0,0,0,0,0,0
Did You Say Chicks?!,1,0,0,0,0,0,0,0,0
Ysabel,1,0,0,0,0,0,0,0,0
Shards of a Broken Crown,1,0,0,0,0,0,0,0,0
Armageddon's Children,1,0,0,0,0,0,0,0,0
In the Forests of Serre,1,0,0,0,0,0,0,0,0
The Reluctant Shaman and Other Fantastic Tales,1,0,0,0,0,0,0,0,0
Chicks 'n Chained Males,1,0,0,0,0,0,0,0,0
"The Conan Chronicles, 1",1,0,0,0,0,0,0,0,0
Flight of the Nighthawks,1,0,0,0,0,0,0,0,0
The Illearth War,1,0,0,0,0,0,0,0,0
The Purple Pterodactyls,1,0,0,0,0,0,0,0,0
The Curse of Chalion,1,0,0,0,0,0,0,0,0
The King Beyond the Gate,1,0,0,0,0,0,0,0,0
Swords and Sorcery,1,0,0,0,0,0,0,0,0
King Kelson's Bride,1,0,0,0,0,0,0,0,0
The Neverending Story,1,0,0,0,0,0,0,0,0
Into a Dark Realm,1,0,0,0,0,0,0,0,0
Three Hearts and Three Lions,1,0,0,0,0,0,0,0,0
The Essential Conan,1,0,0,0,0,0,0,0,0
The Porcelain Magician,1,0,0,0,0,0,0,0,0
The Compass Rose,1,0,0,0,0,0,0,0,0
The Clocks of Iraz,1,0,0,0,0,0,0,0,0
The Land of Laughs,1,0,0,0,0,0,0,0,0
Assassin's Quest,1,0,0,0,0,0,0,0,0
The Power that Preserves,1,0,0,0,0,0,0,0,0
Land of Terror,1,0,0,0,0,0,0,0,0
The Queen of Air and Darkness,1,0,0,0,0,0,0,0,0
Tom O'Bedlam's Night Out and Other Strange Excursions,1,0,0,0,0,0,0,0,0
The Two Princesses of Bamarre,1,0,0,0,0,0,0,0,0
The Complete Chronicles of Conan,1,0,0,0,0,0,0,0,0
Assassin's Apprentice,1,0,0,0,0,0,0,0,0
The Emperor of the Ancient Word and Other Fantastic Stories,1,0,0,0,0,0,0,0,0
Demons Don't Dream,1,0,0,0,0,0,0,0,0
The Merman's Children,1,0,0,0,0,0,0,0,0
Kushiel's Scion,1,0,0,0,0,0,0,0,0
Winds of Fury,1,0,0,0,0,0,0,0,0
Kingdoms of Sorcery,1,0,0,0,0,0,0,0,0
Phoenix and Ashes,1,0,0,0,0,0,0,0,0
Tales of the Quintana Roo,1,0,0,0,0,0,0,0,0
The Year's Best Fantasy Stories: 6,1,0,0,0,0,0,0,0,0
Artifact of Evil,1,0,0,0,0,0,0,0,0
Isle of View,1,0,0,0,0,0,0,0,0
Mermaids!,1,0,0,0,0,0,0,0,0
Straken,1,0,0,0,0,0,0,0,0
Harpy Thyme,1,0,0,0,0,0,0,0,0
Chicks in Chainmail,1,0,0,0,0,0,0,0,0
Amazons II,1,0,0,0,0,0,0,0,0
Elantris,1,0,0,0,0,0,0,0,0
Unicorns II,1,0,0,0,0,0,0,0,0
The Night of Wishes,1,0,0,0,0,0,0,0,0
Swords Against Darkness III,1,0,0,0,0,0,0,0,0
Angels!,1,0,0,0,0,0,0,0,0
Ombria in Shadow,1,0,0,0,0,0,0,0,0
Krondor: The Betrayal,1,0,0,0,0,0,0,0,0
Burning Tower,1,0,0,0,0,0,0,0,0
The Quest of Kadji,1,0,0,0,0,0,0,0,0
Against All Things Ending,1,0,0,0,0,0,0,0,0
Swell Foop,1,0,0,0,0,0,0,0,0
"Silver Birch, Blood Moon",1,0,0,0,0,0,0,0,0
The Crystal Shard,1,0,0,0,0,0,0,0,0
Take a Thief,1,0,0,0,0,0,0,0,0
The Goblin Master's Grimoire,1,0,0,0,0,0,0,0,0
The Dragon Token,1,0,0,0,0,0,0,0,0
The Far Islands and Other Tales of Fantasy,1,0,0,0,0,0,0,0,0
Tanequil,1,0,0,0,0,0,0,0,0
The Year's Best Fantasy Stories: 11,1,0,0,0,0,0,0,0,0
Flashing Swords! 2,1,0,0,0,0,0,0,0,0
The Orc King,1,0,0,0,0,0,0,0,0
Od Magic,1,0,0,0,0,0,0,0,0
The Changing Land,1,0,0,0,0,0,0,0,0
Black Sun Rising,1,0,0,0,0,0,0,0,0
The Year's Best Fantasy Stories: 3,1,0,0,0,0,0,0,0,0
The Black Gryphon,1,0,0,0,0,0,0,0,0
Kai Lung Unrolls His Mat,1,0,0,0,0,0,0,0,0
The Halfling's Gem,1,0,0,0,0,0,0,0,0
Amazons!,1,0,0,0,0,0,0,0,0
Lin Carter's Simrana Cycle,1,0,0,0,0,0,0,0,0
The Other Wind,1,0,0,0,0,0,0,0,0
Geis of the Gargoyle,1,0,0,0,0,0,0,0,0
The Year's Best Fantasy Stories,1,0,0,0,0,0,0,0,0
The Haunted Pampero,1,0,0,0,0,0,0,0,0
Sleeping in Flame,1,0,0,0,0,0,0,0,0
General Winston's Daughter,1,0,0,0,0,0,0,0,0
Up in a Heaval,1,0,0,0,0,0,0,0,0
The Doom that Came to Sarnath and Other Stories,1,0,0,0,0,0,0,0,0
"Dragons, Elves, and Heroes",1,0,0,0,0,0,0,0,0
The Spawn of Cthulhu,1,0,0,0,0,0,0,0,0
Jorkens Borrows Another Whiskey,1,0,0,0,0,0,0,0,0
Conan and the Grim Grey God,1,0,0,0,0,0,0,0,0
The Stratagem and other Stories,1,0,0,0,0,0,0,0,0
Ella Enchanted,1,0,0,0,0,0,0,0,0
Skybowl,1,0,0,0,0,0,0,0,0
Beguilement,1,0,0,0,0,0,0,0,0
Ship of Magic,1,0,0,0,0,0,0,0,0
Wrath of a Mad God,1,0,0,0,0,0,0,0,0
The Phoenix and the Mirror,1,0,0,0,0,0,0,0,0
Feast of Souls,1,0,0,0,0,0,0,0,0
The Incomplete Enchanter,1,0,0,0,0,0,0,0,0
The Unbeheaded King,1,0,0,0,0,0,0,0,0
Rage of a Demon King,1,0,0,0,0,0,0,0,0
The Year's Best Fantasy Stories: 4,1,0,0,0,0,0,0,0,0
The Year's Best Fantasy Stories: 13,1,0,0,0,0,0,0,0,0
The Metatemporal Detective,1,0,0,0,0,0,0,0,0
Discoveries in Fantasy,1,0,0,0,0,0,0,0,0
Xiccarph,1,0,0,0,0,0,0,0,0
The Chick is in the Mail,1,0,0,0,0,0,0,0,0
Demons!,1,0,0,0,0,0,0,0,0
Man from Mundania,1,0,0,0,0,0,0,0,0
Little People!,1,0,0,0,0,0,0,0,0
Seaserpents!,1,0,0,0,0,0,0,0,0
Merlin Book 9: The Great Tree of Avalon,1,0,0,0,0,0,0,0,0
Sunrunner's Fire,1,0,0,0,0,0,0,0,0
Crewel Lye: A Caustic Yarn,1,0,0,0,0,0,0,0,0
The Magic of Atlantis,1,0,0,0,0,0,0,0,0
Anansi Boys,1,0,0,0,0,0,0,0,0
The Year's Best Fantasy Stories: 8,1,0,0,0,0,0,0,0,0
Heroic Visions,1,0,0,0,0,0,0,0,0
The Many Worlds of Andre Norton,1,0,0,0,0,0,0,0,0
Bone Dance,1,0,0,0,0,0,0,0,0
Rides a Dread Legion,1,0,0,0,0,0,0,0,0
The Elf Queen of Shannara,1,0,0,0,0,0,0,0,0
Polgara the Sorceress,1,0,0,0,0,0,0,0,0
The King of Elfland's Daughter,1,0,0,0,0,0,0,0,0
The Fourth Book of Jorkens,1,0,0,0,0,0,0,0,0
The King's Justice,1,0,0,0,0,0,0,0,0
Childe Morgan,1,0,0,0,0,0,0,0,0
Castle Roogna,1,0,0,0,0,0,0,0,0
Reserved for the Cat,1,0,0,0,0,0,0,0,0
Flashing Swords! 4: Barbarians and Black Magicians,1,0,0,0,0,0,0,0,0
The King's Buccaneer,1,0,0,0,0,0,0,0,0
The Gypsy Morph,1,0,0,0,0,0,0,0,0
Vale of the Vole,1,0,0,0,0,0,0,0,0
The Mighty Barbarians,1,0,0,0,0,0,0,0,0
Echoes of the Goddess,1,0,0,0,0,0,0,0,0
The Year's Best Fantasy Stories: 10,1,0,0,0,0,0,0,0,0
Heaven Cent,1,0,0,0,0,0,0,0,0
The Broken Sword,1,0,0,0,0,0,0,0,0
The Candle in the Wind,1,0,0,0,0,0,0,0,0
Dragons!,1,0,0,0,0,0,0,0,0
Blood of Amber,1,0,0,0,0,0,0,0,0
We Are All Legends,1,0,0,0,0,0,0,0,0
A House-Boat on the Styx,1,0,0,0,0,0,0,0,0
Swords Against Darkness II,1,0,0,0,0,0,0,0,0
Heroes in Training,1,0,0,0,0,0,0,0,0
Heroes in the Wind,1,0,0,0,0,0,0,0,0
Don Rodriguez: Chronicles of Shadow Valley,1,0,0,0,0,0,0,0,0
Swords Against Darkness IV,1,0,0,0,0,0,0,0,0
Swords Against Darkness V,1,0,0,0,0,0,0,0,0
Echoes of Valor III,1,0,0,0,0,0,0,0,0
Jorkens Remembers Africa,1,0,0,0,0,0,0,0,0
Echoes of Valor II,1,0,0,0,0,0,0,0,0
"My Mother She Killed Me, My Father He Ate Me",1,0,0,0,0,0,0,0,0
Book of Enchantments,1,0,0,0,0,0,0,0,0
Jorkens Has a Large Whiskey,1,0,0,0,0,0,0,0,0
Moon Mirror,1,0,0,0,0,0,0,0,0
Swords Against Darkness,1,0,0,0,0,0,0,0,0
The Tolkien Reader,1,0,0,0,0,0,0,0,0
Driving Blind,1,1,0,0,0,0,0,0,0
Creatures of the Cosmos,1,1,0,0,0,0,0,0,0
The Secret of Wilhelm Storitz,1,0,0,0,0,0,0,0,0
Indiana Jones and the Philosopher's Stone,1,0,0,0,0,0,0,0,0
The Horns of Elfland,1,0,0,0,0,0,0,0,0
The Farthest Shore,1,0,0,0,0,0,0,0,0
The Little Tales of Smethers and Other Stories,1,0,0,0,0,1,0,0,0
The Eyes of the Overworld,1,0,0,0,0,0,0,0,0
Quicker Than the Eye,1,1,0,0,0,0,0,0,0
Women as Demons: The Male Perception of Women through Space and Time,1,1,0,0,0,0,0,0,0
Renunciates of Darkover,1,1,0,0,0,0,0,0,0
Snows of Darkover,1,1,0,0,0,0,0,0,0
Domains of Darkover,1,1,0,0,0,0,0,0,0
Leroni of Darkover,1,1,0,0,0,0,0,0,0
Towers of Darkover,1,1,0,0,0,0,0,0,0
Wings of Wrath,1,0,0,0,0,0,0,0,0
"Fearsome Creatures of the Lumberwoods, With a Few Desert and Mountain Beasts",1,0,0,0,0,0,0,0,0
Not Before Sundown,1,0,0,0,0,0,0,0,0
Young Thongor,1,0,0,0,0,0,0,0,0
Time of the Twins,1,0,0,0,0,0,0,0,0
War of the Twins,1,0,0,0,0,0,0,0,0
The Kingdom of Kevin Malone,1,0,0,0,0,0,0,0,0
Siege of Darkness,1,0,0,0,0,0,0,0,0
Starless Night,1,0,0,0,0,0,0,0,0
Malafrena,1,0,0,0,0,0,0,0,0
Dragons of Autumn Twilight,1,0,0,0,0,0,0,0,0
Passage to Dawn,1,0,0,0,0,0,0,0,0
Dragons of the Hourglass Mage,1,0,0,0,0,0,0,0,0
Test of the Twins,1,0,0,0,0,0,0,0,0
Dragons of a Fallen Sun,1,0,0,0,0,0,0,0,0
Shadow Dawn,1,0,0,0,0,0,0,0,0
Dragons of Winter Night,1,0,0,0,0,0,0,0,0
Among Others,1,0,0,0,0,0,0,0,0
My Real Children,1,0,0,0,0,0,1,0,0
Fablehaven: Secrets of the Dragon Sanctuary,1,0,0,0,0,0,0,0,0
The Lake of Tears,1,0,0,0,0,0,0,0,0
The Forests of Silence,1,0,0,0,0,0,0,0,0
The Circus of Dr. Lao,1,0,0,0,0,0,0,0,0
Fablehaven: Rise of the Evening Star,1,0,0,0,0,0,0,0,0
City of the Iron Fish,1,0,0,0,0,0,0,0,0
Cavern of the Fear,1,0,0,0,0,0,0,0,0
The Isle of Illusion,1,0,0,0,0,0,0,0,0
Dragon Steel,1,0,0,0,0,0,0,0,0
The Valley of the Lost,1,0,0,0,0,0,0,0,0
Dragon's Nest,1,0,0,0,0,0,0,0,0
City of the Rats,1,0,0,0,0,0,0,0,0
Dragon of the Lost Sea,1,0,0,0,0,0,0,0,0
Fablehaven: Grip of the Shadow Plague,1,0,0,0,0,0,0,0,0
Fablehaven: Keys to the Demon Prison,1,0,0,0,0,0,0,0,0
Song Quest,1,0,0,0,0,0,0,0,0
Chernevog,1,0,0,0,0,0,0,0,0
The Temptation of Elminster,1,0,0,0,0,0,0,0,0
Return to Del,1,0,0,0,0,0,0,0,0
The Angel's Command,1,0,0,0,0,0,0,0,0
The Sister of the South,1,0,0,0,0,0,0,0,0
The Roots of the Mountains,1,0,0,0,0,0,0,0,0
The Fallible Fiend,1,0,0,0,0,0,0,0,0
The Reluctant King,1,0,0,0,0,0,0,0,0
The Mists of Avalon,1,0,0,0,0,0,0,0,0
The Goblin Tower,1,0,0,0,0,0,0,0,0
Yvgenie,1,0,0,0,0,0,0,0,0
The Druid of Shannara,1,0,0,0,0,0,0,0,0
The Fires of Heaven,1,0,0,0,0,0,0,0,0
Swords Against the Shadowland,1,0,0,0,0,0,0,0,0
Kushiel's Chosen,1,0,0,0,0,0,0,0,0
The Scions of Shannara,1,0,0,0,0,0,0,0,0
Son of Spellsinger,1,0,0,0,0,0,0,0,0
Avilion,1,0,0,0,0,0,0,0,0
Lord of Chaos,1,0,0,0,0,0,0,0,0
The Day of the Djinn Warriors,1,0,0,0,0,0,0,0,0
Sign of the Unicorn,1,0,0,0,0,0,0,0,0
The Blue Djinn of Babylon,1,0,0,0,0,0,0,0,0
The Metal Monster,1,0,0,0,0,0,0,0,0
Jurassic Park Adventures: Prey,1,0,0,0,0,0,0,0,0
Princess of the Midnight Ball,1,0,0,0,0,0,0,0,0
Dread Mountain,1,0,0,0,0,0,0,0,0
Heir of Sea and Fire,1,0,0,0,0,0,0,0,0
The Dragon and the George,1,0,0,0,0,0,0,0,0
The Castle of Iron,1,0,0,0,0,0,0,0,0
Sign of Chaos,1,0,0,0,0,0,0,0,0
The Courts of Chaos,1,0,0,0,0,0,0,0,0
Mount Analogue,1,0,0,0,0,0,0,0,0
The Bell at Sealey Head,1,0,0,0,0,0,0,0,0
The Wicked Day,1,0,0,0,0,0,0,0,0
The Halloween Tree,1,0,0,0,0,0,0,0,0
The Steel Remains,1,0,0,0,0,0,0,0,0
Hadon of Ancient Opar,1,0,0,0,0,0,0,0,0
The Shattered Goddess,1,0,0,0,0,0,0,0,0
Soldier of the Mist,1,0,0,0,0,0,0,0,0
The Beginning Place,1,0,0,0,0,0,0,0,0
A Crown of Swords,1,0,0,0,0,0,0,0,0
Soldier of Sidon,1,0,0,0,0,0,0,0,0
Flight to Opar,1,0,0,0,0,0,0,0,0
Nine Princes in Amber,1,0,0,0,0,0,0,0,0
Kushiel's Avatar,1,0,0,0,0,0,0,0,0
Song for the Basilisk,1,0,0,0,0,0,0,0,0
Sir Harold and the Gnome King,1,0,0,0,0,0,0,0,0
The Moment of the Magician,1,0,0,0,0,0,0,0,0
Jurassic Park Adventures: Survivor,1,0,0,0,0,0,0,0,0
The Gorgon's Gaze,1,0,0,0,0,0,0,0,0
Dragonology: The Complete Book of Dragons,1,0,0,0,0,0,0,0,0
The Hollowing,1,0,0,0,0,0,0,0,0
Between the Rivers,1,0,0,0,0,0,0,0,0
The Sword of Thongor,1,0,0,0,0,0,0,0,0
Lavondyss,1,0,0,0,0,0,0,0,0
Secret of the Sirens,1,0,0,0,0,0,0,0,0
The Blue Star,1,0,0,0,0,0,0,0,0
The Face in the Abyss,1,0,0,0,0,0,0,0,0
Everville,1,0,0,0,0,0,0,0,0
Royal Assassin,1,0,0,0,0,0,0,0,0
Solstice Wood,1,0,0,0,0,0,0,0,0
The Day of the Dissonance,1,0,0,0,0,0,0,0,0
The Tree of Swords and Jewels,1,0,0,0,0,0,0,0,0
Dark Quetzal,1,0,0,0,0,0,0,0,0
Chorus Skating,1,0,0,0,0,0,0,0,0
Harpist in the Wind,1,0,0,0,0,0,0,0,0
The Great and Secret Show,1,0,0,0,0,0,0,0,0
Sir Harold of Zodanga,1,0,0,0,0,0,0,0,0
The Hour of the Gate,1,0,0,0,0,0,0,0,0
Prince of Chaos,1,0,0,0,0,0,0,0,0
Fablehaven,1,0,0,0,0,0,0,0,0
The Time of the Transference,1,0,0,0,0,0,0,0,0
Shriek: An Afterword,1,0,0,0,0,0,0,0,0
Trumps of Doom,1,0,0,0,0,0,0,0,0
The Guns of Avalon,1,0,0,0,0,0,0,0,0
Swords Against Death,1,0,0,0,0,0,0,0,0
The Riddle-Master of Hed,1,0,0,0,0,0,0,0,0
The Pixilated Peeress,1,0,0,0,0,0,0,0,0
The Truth-Teller's Tale,1,0,0,0,0,0,0,0,0
The Shadow Rising,1,0,0,0,0,0,0,0,0
Dwellers in the Mirage,1,0,0,0,0,0,0,0,0
The Worm Ouroboros,1,0,0,0,0,0,0,0,0
The Tower at Stony Wood,1,0,0,0,0,0,0,0,0
Winter's Heart,1,0,0,0,0,0,0,0,0
The Path of Daggers,1,0,0,0,0,0,0,0,0
The Maze of the Beast,1,0,0,0,0,0,0,0,0
The Crown of Ptolemy,1,0,0,0,0,0,0,0,0
The Royal Ranger: A New Beginning,1,0,0,0,0,0,0,0,0
Scorpion Mountain,1,0,0,0,0,0,0,0,0
The Siege of Macindaw,1,0,0,0,0,0,0,0,0
The Burning Bridge,1,0,0,0,0,0,0,0,0
Oakleaf Bearers,1,0,0,0,0,0,0,0,0
Halt's Peril,1,0,0,0,0,0,0,0,0
The Kings of Clonmel,1,0,0,0,0,0,0,0,0
The Icebound Land,1,0,0,0,0,0,0,0,0
The Lost Stories,1,0,0,0,0,0,0,0,0
The Sorcerer in the North,1,0,0,0,0,0,0,0,0
The Ghostfaces,1,0,0,0,0,0,0,0,0
The Emperor of Nihon-Ja,1,0,0,0,0,0,0,0,0
Inkdeath,1,0,0,0,0,0,0,0,0
The Tombs of Atuan,1,0,0,0,0,0,0,0,0
Inkheart,1,0,0,0,1,0,0,0,0
The Jade Trilogy,1,0,0,0,0,0,0,0,0
Daughter of Smoke and Bone,1,0,0,0,0,0,0,1,0
A Voyage to Arcturus,1,1,0,0,0,0,0,0,0
Going to Ground,1,0,0,1,0,0,0,0,0
Priestess of Avalon,1,0,0,0,0,0,1,0,0
Magic Kingdom for Sale–Sold!,1,0,0,0,0,0,0,0,0
The Forgotten Beasts of Eld,1,0,0,0,0,0,0,1,0
Mistborn: The Alloy of Law,1,0,0,0,0,0,0,0,0
The Wizardwar,1,0,0,0,0,0,0,0,0
The Floodgate,1,0,0,0,0,0,0,0,0
The Dragon's Apprentice,1,0,0,0,0,0,0,0,0
Crown of Fire,1,0,0,0,0,0,0,0,0
The Final Reckoning,1,0,0,0,0,0,0,0,0
Strands of Sunlight,1,0,0,0,0,0,0,0,0
Thorn Castle,1,0,0,0,0,0,0,0,0
Sorcerer's Son,1,0,0,0,0,0,0,0,0
The Last Threshold,1,0,0,0,0,0,0,0,0
Strands of Starlight,1,0,0,0,0,0,0,0,0
Lion of Senet,1,0,0,0,0,0,0,0,0
Dragon and Phoenix,1,0,0,0,0,0,0,0,0
First Test,1,0,0,0,0,0,0,0,0
Maze of Moonlight,1,0,0,0,0,0,0,0,0
Myrren's Gift,1,0,0,0,0,0,0,0,0
Wizards at War,1,0,0,0,0,0,0,0,0
The Lady of the Sorrows,1,0,0,0,0,0,0,0,0
Child Christopher and Goldilind the Fair,1,0,0,0,0,0,0,0,0
The Alchymist's Cat,1,0,0,0,0,0,0,0,0
Zombie Lover,1,0,0,0,0,0,0,0,0
The Dragons at War,1,0,0,0,0,0,0,0,0
Darkwitch Rising,1,0,0,0,0,0,0,0,0
Castaways of the Flying Dutchman,1,0,0,0,0,0,0,0,0
Whisper of Waves,1,0,0,0,0,0,0,0,0
The Lone Drow,1,0,0,0,0,0,0,0,0
Daja's Book,1,0,0,0,0,0,0,0,0
The Queen of the Tearling,1,0,0,0,0,0,0,0,0
The Parched Sea,1,0,0,0,0,0,0,0,0
Tribes of Redwall Otters,1,0,0,0,0,0,0,0,0
The House of the Wolfings,1,0,0,0,0,0,0,0,0
Dezra's Quest,1,0,0,0,0,0,0,0,0
Shroud of Shadow,1,0,0,0,0,0,0,0,0
The Pursuit of the House-Boat,1,0,0,0,0,0,0,0,0
Thunder Oak,1,0,0,0,0,0,0,0,0
Abyssal Warriors,1,0,0,0,0,0,0,0,0
The Whitby Witches,1,0,0,0,0,0,0,0,0
To Green Angel Tower,1,0,0,0,0,0,0,0,0
Silverlock,1,0,0,0,0,0,0,0,0
Alice in Verse: The Lost Rhymes of Wonderland,1,0,0,0,0,0,0,0,0
Elminster Enraged,1,0,0,0,0,0,0,0,0
Runelight,1,0,0,0,0,0,0,0,0
Lirael,1,0,0,0,0,0,0,0,0
The Waterless Sea,1,0,0,0,0,0,0,0,0
Wolf Captured,1,0,0,0,0,0,0,0,0
Thorn Ogres of Hagwood,1,0,0,0,0,0,0,0,0
The Face in the Frost,1,0,0,0,0,0,0,0,0
The Silver Wolf,1,0,0,0,0,0,0,0,0
The Singer of All Songs,1,0,0,0,0,0,0,0,0
Raven Rise,1,0,0,0,0,0,0,0,0
The Indigo King,1,0,0,0,0,0,0,0,0
Stone and Sea,1,0,0,0,0,0,0,0,0
Night of Knives,1,0,0,0,0,0,0,0,0
Yon Ill Wind,1,0,0,0,0,0,0,0,0
Loamhedge,1,0,0,0,0,0,0,0,0
Sandry's Book,1,0,0,0,0,0,0,0,0
The Gates of Thorbardin,1,0,0,0,0,0,0,0,0
The Wyvern's Spur,1,0,0,0,0,0,0,0,0
The Ghost King,1,0,0,0,0,0,0,0,0
Rhapsody of Blood,1,0,0,0,0,0,0,0,0
No Present Like Time,1,0,0,0,0,0,0,0,0
The Lost Train of Thought,1,0,0,0,0,0,0,0,0
The Harsh Cry of the Heron,1,0,0,0,0,0,0,0,0
Industrial Magic,1,0,0,0,0,0,0,0,0
World of Warcraft: Illidan,1,0,0,0,0,0,0,0,0
Grass for His Pillow,1,0,0,0,0,0,0,0,0
Monster Blood Tattoo: Foundling,1,0,0,0,0,0,0,0,0
Rumo and His Miraculous Adventures,1,0,0,0,0,0,0,0,0
The Aware,1,0,0,0,0,0,0,0,0
Wishing Moon,1,0,0,0,0,0,0,0,0
The Box of Delights,1,0,0,0,0,0,0,0,0
River Secrets,1,0,0,0,0,0,0,0,0
The Prince and the Pilgrim,1,0,0,0,0,0,0,0,0
Fleabee's Fortune,1,0,0,0,0,0,0,0,0
Owlknight,1,0,0,0,0,0,0,0,0
Shaman's Crossing,1,0,0,0,0,0,0,0,0
The Paladin,1,0,0,0,0,0,0,0,0
The Cat Who Wished to Be a Man,1,0,0,0,0,0,0,0,0
The Homunculus,1,0,0,0,0,0,0,0,0
Only Begotten Daughter,1,0,0,0,0,0,0,0,0
Dogland,1,0,0,0,0,0,0,0,0
Elminster – The Making of a Mage,1,0,0,0,0,0,0,0,0
Vampire of the Mists,1,0,0,0,0,0,0,0,0
Salamandastron,1,0,0,0,0,0,0,0,0
The Dragonslayer's Apprentice,1,0,0,0,0,0,0,0,0
Tapestry of Dark Souls,1,0,0,0,0,0,0,0,0
Lady into Fox,1,0,0,0,0,0,0,0,0
The Brightonomicon,1,0,0,0,0,0,0,0,0
"Kender, Gully Dwarves, and Gnomes",1,0,0,0,0,0,0,0,0
The Titan of Twilight,1,0,0,0,0,0,0,0,0
Cold Tom,1,0,0,0,0,0,0,0,0
Air Apparent,1,0,0,0,0,0,0,0,0
Thornyhold,1,0,0,0,0,0,0,0,0
Stone and Sun,1,0,0,0,0,0,0,0,0
Wyvernhail,1,0,0,0,0,0,0,0,0
The Lost Continent: The Story of Atlantis,1,0,0,0,0,0,0,0,0
Above the Veil,1,0,0,0,0,0,0,0,0
Xone of Contention,1,0,0,0,0,0,0,0,0
The Simoqin Prophecies,1,0,0,0,0,0,0,0,0
The Elder Scrolls: The Infernal City,1,0,0,0,0,0,0,0,0
Brilliance of the Moon,1,0,0,0,0,0,0,0,0
Fevre Dream,1,0,0,0,0,0,0,0,0
Aladore,1,0,0,0,0,0,0,0,0
Forest of the Pygmies,1,0,0,0,0,0,0,0,0
Rose Daughter,1,0,0,0,0,0,0,0,0
The Naama War,1,0,0,0,0,0,0,0,0
Dragoncharm,1,0,0,0,0,0,0,0,0
The Tenth Power,1,0,0,0,0,0,0,0,0
The Year of Our War,1,0,0,0,0,0,0,0,0
Mistborn: The Hero of Ages,1,0,0,0,0,0,0,0,0
Fool's Assassin,1,0,0,0,0,0,0,0,0
Vallista,1,0,0,0,0,0,0,0,0
Song in the Silence,1,0,0,0,0,0,0,0,0
Escape from Undermountain,1,0,0,0,0,0,0,0,0
Whortle's Hope,1,0,0,0,0,0,0,0,0
Mistborn: Shadows of Self,1,0,0,0,0,0,0,0,0
Plague of Spells,1,0,0,0,0,0,0,0,0
Dragons in the Archives: The Best of Weis and Hickman Anthology,1,0,0,0,0,0,0,0,0
The Shattered Mask,1,0,0,0,0,0,0,0,0
The Haunted Woman,1,0,0,0,0,0,0,0,0
Harshini,1,0,0,0,0,0,0,0,0
Wizard at Large,1,0,0,0,0,0,0,0,0
Dragon Sword and Wind Child,1,0,0,0,0,0,0,0,0
Giant of World's End,1,0,0,0,0,0,0,0,0
The Witches of Chiswick,1,0,0,0,0,0,0,0,0
Rise of a Hero,1,0,0,0,0,0,0,0,0
The Subtle Knife,1,0,0,0,0,0,0,0,0
The Outstretched Shadow,1,0,0,0,0,0,0,0,0
Sabriel,1,0,0,0,0,0,0,0,0
Murder in Tarsis,1,0,0,0,0,0,0,0,0
City of Torment,1,0,0,0,0,0,0,0,0
Mossflower,1,0,0,0,0,0,0,0,0
Warcraft: Day of the Dragon,1,0,0,0,0,0,0,0,0
The Deptford Mice Almanack,1,0,0,0,0,0,0,0,0
The Long Patrol,1,0,0,0,0,0,0,0,0
Red Moon and Black Mountain,1,0,0,0,0,0,0,0,0
Runemarks,1,0,0,0,0,0,0,0,0
Divine Right's Trip,1,0,0,0,0,0,0,0,0
Triss,1,0,0,0,0,0,0,0,0
Witches Incorporated,1,0,0,0,0,0,0,0,0
House of Chains,1,0,0,0,0,0,0,0,0
The Last of the Really Great Whangdoodles,1,0,0,0,0,0,0,0,0
Medalon,1,0,0,0,0,0,0,0,0
Winter Warriors,1,0,0,0,0,0,0,0,0
Farthest Reach,1,0,0,0,0,0,0,0,0
The Dawning of a New Age,1,0,0,0,0,0,0,0,0
Falcondance,1,0,0,0,0,0,0,0,0
ArchEnemy,1,0,0,0,0,0,0,0,0
The Bellmaker,1,0,0,0,0,0,0,0,0
Wolfskin,1,0,0,0,0,0,0,0,0
Battledragon,1,0,0,0,0,0,0,0,0
The Story of the Glittering Plain,1,0,0,0,0,0,0,0,0
The 13½ Lives of Captain Bluebear,1,0,0,0,0,0,0,0,0
So You Want to Be a Wizard,1,0,0,0,0,0,0,0,0
Knight of the Black Rose,1,0,0,0,0,0,0,0,0
Shardik,1,0,0,0,0,0,0,0,0
Dog Wizard,1,0,0,0,0,0,0,0,0
The Quest for Cush,1,0,0,0,0,0,0,0,0
The Cry of the Icemark,1,0,0,0,0,0,0,0,0
"I, Strahd: The Memoirs of a Vampire",1,0,0,0,0,0,0,0,0
Marlfox,1,0,0,0,0,0,0,0,0
Whizzard!,1,0,0,0,0,0,0,0,0
The Raven's Knot,1,0,0,0,0,0,0,0,0
A Bad Spell in Yurt,1,0,0,0,0,0,0,0,0
The Trail of Bohu,1,0,0,0,0,0,0,0,0
The Forest King,1,0,0,0,0,0,0,0,0
